Nome,Punteggio,Fantamedia anno 2024-2025,Fantamedia anno 2023-2024,Fantamedia anno 2022-2023,Presenze 2024-2025,Fanta Media 2024-2025,FM su tot gare 2024-2025,Presenze previste,Gol previsti,Assist previsti,Ruolo,Skills,Buon investimento,Resistenza infortuni,Consigliato prossima giornata,Nuovo acquisto,Infortunato,Squadra,Trend,Presenze campionato corrente
CARNESECCHI MARCO,94,5.38,5.36,4.63,33,5.38,4.67,21/30,30/40,0,POR,['Titolare'],60,60,False,False,False,Atalanta,UP,33
MERET ALEX,96,5.78,4.90,5.56,32,5.78,4.87,11/20,20/30,0,POR,"['Titolare', 'Buona Media']",80,60,False,False,False,Napoli,UP,32
DI GREGORIO MICHELE,93,5.11,5.45,5.13,31,5.11,4.17,21/30,20/30,0,POR,"['Fuoriclasse', 'Titolare']",60,60,False,False,False,Juventus,DOWN,31
MILINKOVIC SAVIC VANJA,98,5.51,5.21,4.89,35,5.51,5.08,11/20,8/11,0,POR,"['Titolare', 'Rigorista']",60,60,False,True,False,Napoli,UP,35
MAIGNAN MIKE,95,5.13,4.86,5.34,35,5.13,4.73,30+,20+,0,POR,"['Fuoriclasse', 'Titolare', 'Buona Media']",60,60,False,False,False,Milan,UP,35
SUZUKI ZION,78,4.79,nd,nd,35,4.79,4.41,21/30,0,0,POR,['Titolare'],60,60,False,False,False,Parma,STABLE,35
SVILAR MILE,84,5.32,5.38,4.83,36,5.32,5.04,30+,20/30,0,POR,"['Titolare', 'Buona Media']",60,60,True,False,False,Roma,DOWN,36
FALCONE WLADIMIRO,82,4.85,4.79,5.09,36,4.85,4.59,30+,8/11,0,POR,"['Titolare', 'Buona Media']",80,80,False,False,False,Lecce,UP,36
DE GEA DAVID,84,5.38,nd,nd,33,5.38,4.67,30+,0,0,POR,"['Fuoriclasse', 'Titolare']",60,60,False,False,False,Fiorentina,STABLE,33
MONTIPÒ LORENZO,75,4.43,5.03,4.79,34,4.43,3.96,21/30,40/50,0,POR,"['Titolare', 'Buona Media']",40,60,False,False,False,Verona,DOWN,34
SOMMER YANN,74,5.35,5.65,nd,30,5.35,4.22,30+,20/30,0,POR,"['Titolare', 'Buona Media']",60,40,False,False,False,Inter,DOWN,30
