id;firstname;lastname;team;position;injured;banned;mantra_position;fantacalcio_position;name;country;birth_date;foot_name;fantacalcioPlayerId;fantacalcioTeamName;appearances;matchesInStart;mins_played;pagella;fantacalcioRanking;fantacalcioFantaindex;fantacalcioPosition;assists;goals;goals90min;goalsFromOpenPlays;xgFromOpenPlays;xgFromOpenPlays/90min;xA;xA90min;redCards;yellowCards;successfulPenalties;penalties;gkPenaltiesSaved;gkCleanSheets;gkConcededGoals;openPlaysGoalsConceded;openPlaysXgConceded;fantamediaPred;fantamediaPredRoundId;matchConvocation;matchesWithGrade;perc_matchesStarted;perc_matchesWithGrade;percMinsPlayed;expectedFantamediaMean;External_breakout_Index;Set_piece_attack_Index;Offensive_verticalization_Index;Attacking_area_Index;Pass_accuracy_Index;Accompany_the_offensive_action_Index;Cross_accuracy_Index;Pass_leading_chances_Index;Shot_on_target_Index;Received_pass_Index;Deep_runs_Index;Air_challenge_offensive_Index;Shot_on_goal_Index;Converge_in_the_center_Index;Pass_forward_accuracy_Index;Defense_solidity_Index;Offensive_actions_Index;Dribbles_successful_Index;Offensive_field_presence_Index
130;stefan;de vrij;{'uuid': 'fb3aee60-b9c5-4842-b8c0-f338743a5532', 'name': 'inter'};Defender;False;False;['CB'];D;Stefan de Vrij;Netherlands;1992-02-05;right;322;inter;26.0;18.0;1878.0;6.27;6.58;96.7;D;0.0;3.0;0.14;4.0;1.49;0.07;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;36.0;25.0;50.0;69.44;52.0;-1;-1.0;-1.0;60.5;57.05;94.23;86.87;-1.0;-1.0;-1.0;92.89;-1.0;-1.0;-1.0;-1.0;87.02;83.71;91.58;-1.0;68.92
625;marten elco;de roon;{'uuid': '313d7f52-5056-426e-9637-9aeae2c94d8d', 'name': 'atalanta'};Midfielder;False;False;['DM', 'M'];C;Marten de Roon;Netherlands;1991-03-29;right;22;atalanta;36.0;34.0;3306.0;6.23;6.58;74.6;C;3.0;4.0;0.11;4.0;0.85;0.02;2.31;0.06;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;37.0;36.0;91.89;97.3;90.0;-1;-1.0;-1.0;85.63;56.51;84.21;87.09;-1.0;52.18;-1.0;83.9;-1.0;-1.0;-1.0;-1.0;81.71;-1.0;80.56;-1.0;81.95
3324;Alvaro;morata;{'uuid': '3d3e3a11-950e-4170-a228-5bd0943e5716', 'name': 'como'};Forward;False;False;['CF'];A;Alvaro Borja Morata Martin;Spain;1992-10-23;right;313;como;27.0;18.0;1818.0;6.1;7.12;73.21;A;1.0;10.0;0.5;11.0;7.7;0.38;1.93;0.1;0.0;7.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;27.0;27.0;66.67;100.0;51.0;-1;58.52;-1.0;49.38;88.01;-1.0;52.56;43.89;58.59;69.1;49.81;71.46;63.65;78.26;-1.0;-1.0;-1.0;49.47;-1.0;65.98
3347;sergi roberto;sergi roberto;{'uuid': '3d3e3a11-950e-4170-a228-5bd0943e5716', 'name': 'como'};Midfielder;False;False;['DM', 'M'];C;Sergi Roberto Carnicer;Spain;1992-02-07;right;4284;como;13.0;8.0;754.0;5.81;5.73;59.24;C;1.0;0.0;0.0;0.0;0.29;0.03;0.29;0.03;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;15.0;12.0;53.33;80.0;21.0;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
3360;pedro eliezer;pedro;{'uuid': 'f10c49fc-d0ce-4a7b-ba2d-f136e95e0fe0', 'name': 'lazio'};Wing-Forward;False;False;['F'];A;Pedro Eliezer Rodriguez Ledesma;Spain;1987-07-28;right;2489;lazio;30.0;6.0;1264.0;6.1;7.1;66.51;A;1.0;10.0;0.71;9.0;5.1;0.36;3.27;0.23;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;36.0;28.0;16.67;77.78;37.0;-1;66.06;-1.0;81.82;78.44;56.35;72.17;82.09;82.39;79.07;74.7;73.73;-1.0;87.65;71.69;64.22;-1.0;75.89;65.79;69.61
3361;alexis alejandro;sanchez;{'uuid': '10699c39-fa51-4968-8ee6-209df2113a8c', 'name': 'udinese'};Forward;False;False;['F'];A;Alexis Alejandro Sanchez Sanchez;Chile;1988-12-19;right;2475;udinese;13.0;6.0;482.0;5.59;5.59;19.96;A;0.0;0.0;0.0;0.0;1.18;0.22;0.22;0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;20.0;12.0;30.0;60.0;14.0;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
3647;Pablo;mari';{'uuid': '573f5fa3-5623-417c-9efc-f28b50bc7778', 'name': 'fiorentina'};Defender;False;False;['CB'];D;Pablo Mari Villar;Spain;1993-08-31;left;4904;fiorentina;32.0;31.0;2967.0;5.86;5.75;33.23;D;0.0;0.0;0.0;0.0;0.38;0.01;0.17;0.01;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;33.0;32.0;93.94;96.97;80.0;-1;-1.0;-1.0;-1.0;55.35;91.29;77.35;-1.0;-1.0;-1.0;82.77;-1.0;-1.0;-1.0;-1.0;85.69;58.92;77.83;-1.0;57.0
4792;patricio;patric;{'uuid': 'f10c49fc-d0ce-4a7b-ba2d-f136e95e0fe0', 'name': 'lazio'};Defender;True;False;['RB', 'CB'];D;Patricio Gabarron Gil;Spain;1993-04-17;right;327;lazio;10.0;5.0;674.0;5.8;6.0;86.42;D;0.0;1.0;0.13;2.0;0.82;0.11;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;19.0;9.0;26.32;47.37;19.0;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
4908;Alberto;moreno alb.;{'uuid': '3d3e3a11-950e-4170-a228-5bd0943e5716', 'name': 'como'};Wing-Back;False;False;['LB', 'E'];D;Alberto Moreno Perez  ;Spain;1992-07-05;left;5435;como;24.0;21.0;1846.0;5.73;5.65;27.09;D;0.0;0.0;0.0;0.0;0.34;0.02;0.94;0.05;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;30.0;23.0;70.0;76.67;52.0;-1;57.79;-1.0;63.65;58.62;70.07;72.08;77.39;57.93;-1.0;77.87;63.45;-1.0;-1.0;-1.0;78.32;53.57;69.37;-1.0;58.63
7905;romelu;lukaku;{'uuid': '28ba208b-80fd-4a40-8014-bc82d2976fc3', 'name': 'napoli'};Forward;True;False;['CF'];A;Romelu Menama Lukaku Bolingoli;Belgium;1993-05-13;left;2531;napoli;36.0;35.0;2983.0;6.08;7.27;79.55;A;6.0;14.0;0.42;12.0;11.74;0.35;2.93;0.09;0.0;4.0;3.0;4.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;36.0;36.0;97.22;100.0;86.0;-1;54.68;-1.0;-1.0;88.48;-1.0;50.37;-1.0;64.93;66.02;-1.0;85.68;68.78;72.6;-1.0;-1.0;-1.0;50.06;-1.0;55.98
